image_name,DR_label,IQ_label
Images/2020.02.23.20026856-p17-115%3.png,1,0
Images/2020.02.25.20021568-p23-108%8.png,1,0
Images/2020.02.27.20027557-p25-137%4.png,1,0
Images/bmj.m606.full-p4-22%4.png,1,0
Images/Comparison-of-different-samples-for-2019-novel-cor_2020_International-Journa-p2-21%7.png,1,0
Images/2020.03.01.20029769-p21-73_4.png,1,0
Images/2020.03.04.20031047-p13-84%0.png,1,0
Images/2020.03.04.20031039-p23-97_1%2.png,1,0
Images/2020.03.11.20033159-p12-45%0.png,1,0
Images/2020.02.22.20024927-p19-68%2.png,1,0
Images/2020.03.21.20040691-p18-67-8.png,1,0
Images/2020.02.28.20029025-p23-183.png,1,0
Images/2020.03.22.20034041-p17-80-2.png,1,0
Images/2020.03.22.20034041-p17-80-1.png,1,0
Images/2020.03.09.20033118-p20-93%2.png,1,0
Images/kjr-21-e24-p3-16.png,1,0
Images/kjr-21-e25-p1-8.png,1,0
Images/2020.02.10.20021584-p6-52%13.png,1,0
Images/2020.03.18.20038125-p15-54-2.png,1,0
Images/2020.03.20.20037325-p23-121.png,1,0
Images/2020.02.22.20024927-p20-70%0.png,1,0
Images/2020.03.08.20031658-p15-105.png,1,0
Images/2020.03.09.20033118-p20-93%3.png,1,0
Images/2020.03.11.20033159-p12-45%4.png,1,0
Images/2020.03.04.20031047-p12-81%1.png,1,0
Images/Comparison-of-different-samples-for-2019-novel-cor_2020_International-Journa-p2-21%10.png,1,0
Images/2020.03.12.20034686-p17-91-4.png,1,0
Images/2020.03.03.20030775-p10-88%0.png,1,0
Images/2020.02.25.20021568-p24-111%2.png,1,0
Images/Talaromyces-marneffei-infection-relapse-presenting-as-ost_2020_International-p1-12%0.png,1,0
Images/2020.03.04.20031047-p13-84%1.png,1,0
Images/2020.02.28.20029025-p23-182.png,1,0
Images/2020.02.26.20026989-p34-114_1%1.png,1,0
Images/2020.03.08.20031658-p15-103.png,1,0
Images/2020.03.25.20037721-p27-181.png,1,0
Images/2020.03.25.20043166-p17-79.png,1,0
Images/Talaromyces-marneffei-infection-relapse-presenting-as-ost_2020_International-p1-12%3.png,1,0
Images/med-9780198814924-chapter-17-p10-515.png,1,0
Images/2020.03.04.20031039-p23-97_1%0.png,1,0
Images/bmj.m606.full-p4-22%3.png,1,0
Images/2020.03.16.20036145-p19-128-3.png,1,0
Images/kjr-21-e25-p1-12.png,1,0
Images/2020.03.01.20029769-p21-73_1%2.png,1,0
Images/2020.02.10.20021584-p6-52%14.png,1,0
Images/2020.02.10.20021584-p6-52%12.png,1,0
Images/2020.03.03.20030353-p17-106%0.png,1,0
Images/2020.03.19.20038539-p10-62.png,1,0
Images/2020.03.12.20034686-p17-91-3.png,1,0
Images/2020.02.25.20021568-p24-111%5.png,1,0
Images/2020.03.16.20035105-p6-64-1.png,1,0
Images/2020.03.30.20047985-p9-56%0.png,1,0
Images/2020.02.23.20026856-p17-115%2.png,1,0
Images/2020.03.25.20043166-p17-81.png,1,0
Images/2019-novel-Coronavirus-severe-adult-respiratory-dist_2020_International-Jour-p3-91.png,1,0
Images/2020.03.04.20030395-p27-108%1.png,1,0
Images/2020.03.30.20047985-p9-56%2.png,1,0
Images/2020.02.26.20026989-p34-114_1%0.png,1,0
Images/2020.03.03.20030353-p17-106%1.png,1,0
Images/2020.02.22.20024927-p19-68%3.png,1,0
Images/2020.03.04.20030395-p27-108%3.png,1,0
Images/2020.02.11.20021493-p16-109%2.png,1,0
Images/Comparison-of-different-samples-for-2019-novel-cor_2020_International-Journa-p2-21%0.png,1,0
Images/2020.03.19.20038539-p10-58.png,1,0
Images/2020.02.25.20021568-p23-108%14.png,1,0
Images/2020.03.22.20040782-p25-1545.png,1,0
Images/2020.01.24.919183-p27-132.png,1,0
Images/PIIS0140673620303603%0.png,1,0
Images/2020.02.22.20024927-p19-68%1.png,1,0
Images/2020.03.16.20035105-p6-64-2.png,1,0
Images/2020.03.04.20031047-p12-81%0.png,1,0
Images/2020.02.25.20021568-p23-108%2.png,1,0
Images/2020.03.22.20034041-p18-92-1.png,1,0
Images/2020.03.30.20047985-p9-56%3.png,1,0
Images/2020.02.22.20024927-p19-68%0.png,1,0
Images/2020.03.13.20035212-p23-157.png,1,0
Images/2020.02.25.20021568-p24-111%8.png,1,0
Images/2020.02.25.20021568-p23-108%12.png,1,0
Images/2020.02.26.20027938-p6-80_3%0.png,1,0
Images/2020.03.25.20037721-p27-165.png,1,0
Images/kjr-21-e25-p1-10.png,1,0
Images/2020.02.10.20021584-p6-52%9.png,1,0
